GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB090515,0.008,0.056,0.008,0.044,4.181395e-08 ,1.8174821486521058
GRB090510,-0.128,6.224,-0.016,5.648,1.463897e-06 ,2.370226451366578
GRB090509,-62.396,298.696,-47.464,288.912,5.244057e-06 ,1.4032989145900239
GRB090429B,-4.46,2.48,-3.656,1.924,5.358454e-07 ,1.1605392715729448
GRB090429A,-13.576,203.424,-8.576,175.424,1.901559e-06 ,1.5877792280800158
GRB090426,-0.032,1.34,0.032,1.268,2.721787e-07 ,1.277703214469658
GRB090424,-0.708,102.52,-0.12,49.34,3.842817e-05 ,1.414913889969893
GRB090423,-0.668,11.74,0.308,10.612,1.024264e-06 ,1.2046193797355889
GRB090422,-0.392,8.496,-0.268,8.208,3.789955e-07 ,1.452278867882477
GRB090419,-1.976,525.448,18.656,472.9,5.196849e-06 ,1.7279456086439493
GRB090418B,0.0,89.0,3.0,41.0,2.637424e-05 ,1.2702230728622739
GRB090418A,-8.276,61.132,-2.992,53.312,9.149807e-06 ,1.6545494939521108
GRB090417B,318.376,627.744,332.804,599.744,3.254696e-06 ,1.2184006494444692
GRB090417A,-0.004,0.08,0.0,0.068,1.599556e-08 ,0.7788789921100449
GRB090410,-49.224,139.444,-35.564,129.584,1.343420e-05 ,1.9224721595818384
GRB090407,-17.688,329.352,-12.088,303.384,1.862128e-06 ,1.4926572919463188
GRB090404,-35.172,94.64,-19.472,62.548,3.869320e-06 ,0.8649280799087016
GRB090401B,-0.14,326.136,0.74,187.244,2.168488e-05 ,1.6874848037229244
GRB090401A,-11.948,165.008,13.672,130.676,1.834777e-05 ,1.3315890739903786
GRB090313,-21.256,74.808,-16.264,66.776,2.158752e-06 ,1.2496546589205764
GRB090309A,-0.824,2.176,-0.824,2.176,2.735780e-07 ,2.0339952920841617
GRB090308A,16.596,45.356,17.124,42.22,2.673430e-07 ,0.9758429752137141
GRB090307A,-7.432,16.568,-7.432,14.568,6.688538e-07 ,2.8464269624600904
GRB090306B,0.0,26.0,1.0,22.0,6.105531e-06 ,1.561745289088486
GRB090305A,0.008,0.632,0.044,0.584,2.399300e-07 ,2.8047867739311636
GRB090301A,-17.912,72.224,-1.804,39.568,5.327427e-05 ,1.8276792509016313
GRB090205,-2.92,6.624,-2.604,6.208,2.772876e-07 ,1.1292497257346141
GRB090201,-2.212,83.928,1.444,75.708,5.530888e-05 ,1.5455750487788333
GRB090129,-0.212,26.72,0.396,18.02,3.274812e-06 ,1.1676425716848742
